Land;Jahr;Insgesamt (in 1000t);Steinkohle;Braunkohle;Mineralöle und Mineralöl produkte;Gase;Abfälle (nicht biogen);Andere Energieträger;Stand
Baden-Württemberg;2017;69932;15345,3;555;36531;15852;1434;215;05.03.2020
Bayern;2017;78860;4338,1;866;48228;23053;2375;0;20.08.2019
Berlin;2017;16661;3470,2;653;7022;5292;224;0;18.12.2019
Brandenburg;2017;55797;1816,2;34647;10929;7048;1356;0;03.03.2020
Bremen;2017;13557;6051,4;365;1813;4732;595;0;12.03.2020
Hamburg;2017;16448;6958,8;17;5826;3243;403;0;01.09.2019
Hessen;2017;49960;3345,6;514;33602;11374;1124;0;22.01.2019
Mecklenburg-Vorpommern;2017;;;;;;;;
Niedersachsen;2017;64371;11828,2;290;23465;27997;791;0;25.02.2020
Nordrhein-Westfalen;2017;242776;36460,2;86178;55714;60410;3911;103;14.02.2020
Rheinland-Pfalz;2017;26875;212,8;323;12870;12365;1104;0;05.03.2020
Saarland;2017;;;;;;;;
Sachsen;2017;51558;118,3;32887;10444;7975;134;0;
Sachsen-Anhalt;2017;24954;454,7;7957;7657;7394;1491;0;20.02.2020
Schleswig-Holstein;2017;17168;2805,0;187;8088;5270;818;0;01.09.2019
Thüringen;2017;10385;55,8;406;5238;4363;322;0;